notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq,semantic
828.0,651.0,0.55984,35.0,0.0,1,0.57001,1474,14711,0.0023753465141550375,967823 986417 -1  -2 ,'Sodium Chloride' 'POLYETHYLENE GLYCOL 3350' -1 -2 
738.0,816.0,0.4749,31.0,0.0,1,0.48517,1564,14711,0.001375795381232201,1332418 -1 1125315 -1  -2 ,'Amlodipine' -1 'Acetaminophen' -1 -2 
737.0,822.0,0.47274,31.0,0.0,1,0.48302,1556,14711,0.0013641190000781916,1125315 -1 1125315 -1 1797513 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Ciprofloxacin' -1 -2 
633.0,1036.0,0.37927,32.0,0.0,1,0.39095,1687,14711,0.0012805248191895776,1742253 -1 1742253 -1  -2 ,'Levofloxacin' -1 'Levofloxacin' -1 -2 
900.0,1096.0,0.4509,36.0,0.0,1,0.46063,1993,14711,0.0012283039337498704,1125315 -1 1125315 -1 19049105 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Potassium Chloride' -1 -2 
868.0,910.0,0.48819,33.0,0.0,1,0.49752,1771,14711,0.0012092547205558189,1125315 1174888 -1 1797513 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Ciprofloxacin' -1 -2 
792.0,770.0,0.50704,30.0,0.0,1,0.51633,1559,14711,0.0011963704928297347,1713332 -1 1797513 -1  -2 ,'Amoxicillin' -1 'Ciprofloxacin' -1 -2 
755.0,957.0,0.441,32.0,0.0,1,0.45126,1722,14711,0.0011916499119628966,1742253 -1 1125315 1174888 -1  -2 ,'Levofloxacin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
774.0,875.0,0.46938,31.0,0.0,1,0.47917,1649,14711,0.0011686387473011514,1125315 -1 956874 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 'Hydrocodone' -1 -2 
831.0,747.0,0.52662,30.0,0.0,1,0.53545,1569,14711,0.0011626974182719684,1125315 -1 1125315 -1 19121608 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Influenza virus vaccine' -1 -2 
958.0,699.0,0.57815,31.0,0.0,1,0.5859,1653,14711,0.0011525296005599323,1125315 -1 974166 -1  -2 ,'Acetaminophen' -1 'Hydrochlorothiazide' -1 -2 
666.0,849.0,0.4396,29.0,0.0,1,0.45013,1522,14711,0.001141054227970503,1154343 -1 19049105 -1  -2 ,'Albuterol' -1 'Potassium Chloride' -1 -2 
887.0,1004.0,0.46906,34.0,0.0,1,0.47844,1888,14711,0.0011389497275913355,1125315 -1 956874 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 'Acetaminophen' -1 -2 
613.0,838.0,0.42247,28.0,0.0,1,0.4334,1462,14711,0.0011222000878823896,1502905 -1  -2 ,'Insulin. Glargine. Human' -1 -2 
686.0,921.0,0.42688,30.0,0.0,1,0.43739,1616,14711,0.0011037893815299836,1125315 -1 1742253 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 'Acetaminophen' -1 -2 
593.0,1027.0,0.36605,30.0,0.0,1,0.37758,1634,14711,0.0010782406111085009,956874 -1 1742253 -1  -2 ,'Furosemide' -1 'Levofloxacin' -1 -2 
701.0,783.0,0.47237,28.0,0.0,1,0.48214,1486,14711,0.0010533489824190668,1174888 -1 956874 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 'Hydrocodone' -1 -2 
766.0,896.0,0.46089,30.0,0.0,1,0.47045,1656,14711,9.991535513415827E-4,1174888 -1 1125315 -1 19049105 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Potassium Chloride' -1 -2 
638.0,1040.0,0.38021,30.0,0.0,1,0.3911,1689,14711,9.703569212804629E-4,1742253 -1 956874 -1  -2 ,'Levofloxacin' -1 'Furosemide' -1 -2 
813.0,942.0,0.46325,31.0,0.0,1,0.47256,1750,14711,9.701777066431946E-4,1125315 -1 1174888 -1 19049105 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Potassium Chloride' -1 -2 
