notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq,semantic
525.0,399.0,0.56818,0.0,705.0,0,0.32228,1629,14711,0.016081222701164292,1129625 -1  -2 ,'Diphenhydramine' -1 -2 
818.0,648.0,0.55798,0.0,951.0,0,0.33844,2417,14711,0.014359299678734486,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
746.0,291.0,0.71938,0.0,728.0,0,0.42266,1765,14711,0.013358274867654354,1754994 -1  -2 ,'Fluconazole' -1 -2 
506.0,411.0,0.5518,0.0,652.0,0,0.3225,1569,14711,0.012210537341776913,19136030 -1  -2 ,'Saline Solution. Hypertonic' -1 -2 
506.0,366.0,0.58028,0.0,609.0,0,0.34166,1481,14711,0.01074262730490173,1125315 -1 791967 -1  -2 ,'Acetaminophen' -1 'Lorazepam' -1 -2 
593.0,337.0,0.63763,0.0,603.0,0,0.38682,1533,14711,0.008430432056036663,922570 -1  -2 ,'Nystatin' -1 -2 
779.0,457.0,0.63026,0.0,745.0,0,0.39324,1981,14711,0.008252248926876657,1125315 -1 1000560 -1  -2 ,'Acetaminophen' -1 'Ondansetron' -1 -2 
660.0,413.0,0.6151,0.0,652.0,0,0.38261,1725,14711,0.0073012275869659485,906780 -1  -2 ,'Metoclopramide' -1 -2 
646.0,395.0,0.62056,0.0,630.0,0,0.38659,1671,14711,0.00691265074569514,1174888 -1 1000560 -1  -2 ,'Hydrocodone' -1 'Ondansetron' -1 -2 
765.0,300.0,0.71831,0.0,627.0,0,0.45213,1692,14711,0.006157010471614884,1501700 -1  -2 ,'Thyroxine' -1 -2 
706.0,357.0,0.66416,0.0,619.0,0,0.41974,1682,14711,0.005795344352787017,1518254 -1 1125315 -1  -2 ,'Dexamethasone' -1 'Acetaminophen' -1 -2 
639.0,359.0,0.64028,0.0,586.0,0,0.40341,1584,14711,0.005640915752667346,1551099 -1 956874 -1  -2 ,'Prednisone' -1 'Furosemide' -1 -2 
626.0,364.0,0.63232,0.0,581.0,0,0.39847,1571,14711,0.005574616327779741,1126658 -1  -2 ,'Hydromorphone' -1 -2 
759.0,450.0,0.62779,0.0,679.0,0,0.40201,1888,14711,0.005485032137788248,1125315 -1 1154029 -1  -2 ,'Acetaminophen' -1 'Fentanyl' -1 -2 
803.0,510.0,0.61158,0.0,720.0,0,0.39498,2033,14711,0.005233621188674375,1110410 -1  -2 ,'Morphine' -1 -2 
