Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq
0.0,0.0,4.0,0.0,4,35,0.0,1797513 -1 1502905 -1 1125315 1174888 -1 1502905 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1502905 -1 956874 -1 1125315 -1 1502905 -1 19121608 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1125315 -1 956874 -1 1174888 -1 1502905 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1154343 -1 1125315 1174888 -1 1502905 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1125315 1174888 -1 1322184 -1 1502905 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1713332 1759842 -1 744740 -1 1713332 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,956874 -1 19121608 -1 956874 -1 956874 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,19001311 -1 1377898 -1 19001311 -1 1377898 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1124957 1125315 -1 1174888 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1125315 -1 1125315 1174888 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1125315 -1 19049105 -1 1373928 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1713332 1759842 -1 19121608 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,922570 -1 1125315 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1154029 -1 906780 -1  -2 
0.0,0.0,5.0,0.0,5,35,0.0,956874 -1 1307046 -1  -2 
0.0,0.0,5.0,0.0,5,35,0.0,1322184 -1 1125315 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1713332 -1 1786621 -1  -2 
0.0,0.0,5.0,0.0,5,35,0.0,19001311 -1 1517740 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,791967 -1  -2 
0.0,0.0,5.0,0.0,5,35,0.0,923645 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1129625 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1367500 -1  -2 
0.0,0.0,4.0,0.0,4,35,0.0,1550023 -1  -2 
0.0,0.0,6.0,0.0,6,35,0.0,19015230 -1  -2 
0.0,0.0,6.0,0.0,6,35,0.0,19111620 -1  -2 
