Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq,semantic
0.0,0.0,20.0,0.0,20,194,0.0,1125315 -1 1125315 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.0,0.0,29.0,0.0,29,194,0.0,1125315 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,956874 -1 1125315 1174888 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,1125315 -1 1174888 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
0.0,0.0,24.0,0.0,24,194,0.0,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
0.0,0.0,37.0,0.0,37,194,0.0,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,1124957 -1 956874 -1  -2 ,'Oxycodone' -1 'Furosemide' -1 -2 
0.0,0.0,24.0,0.0,24,194,0.0,1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,1125315 -1 1124957 -1  -2 ,'Acetaminophen' -1 'Oxycodone' -1 -2 
0.0,0.0,22.0,0.0,22,194,0.0,1154343 -1 1125315 -1  -2 ,'Albuterol' -1 'Acetaminophen' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,1154343 -1 1174888 -1  -2 ,'Albuterol' -1 'Hydrocodone' -1 -2 
0.0,0.0,25.0,0.0,25,194,0.0,1551099 -1 1125315 -1  -2 ,'Prednisone' -1 'Acetaminophen' -1 -2 
0.0,0.0,23.0,0.0,23,194,0.0,1125315 -1 1551099 -1  -2 ,'Acetaminophen' -1 'Prednisone' -1 -2 
0.0,0.0,22.0,0.0,22,194,0.0,1125315 -1 1786621 -1  -2 ,'Acetaminophen' -1 'Cephalexin' -1 -2 
0.0,0.0,41.0,0.0,41,194,0.0,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
0.0,0.0,23.0,0.0,23,194,0.0,19049105 -1 1125315 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,781039 -1  -2 ,'Alprazolam' -1 -2 
0.0,0.0,24.0,0.0,24,194,0.0,791967 -1  -2 ,'Lorazepam' -1 -2 
0.0,0.0,25.0,0.0,25,194,0.0,797399 -1  -2 ,'gabapentin' -1 -2 
0.0,0.0,31.0,0.0,31,194,0.0,903963 -1  -2 ,'Triamcinolone' -1 -2 
0.0,0.0,22.0,0.0,22,194,0.0,904453 -1  -2 ,'Esomeprazole' -1 -2 
0.0,0.0,21.0,0.0,21,194,0.0,906780 -1  -2 ,'Metoclopramide' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,923645 -1  -2 ,'Omeprazole' -1 -2 
0.0,0.0,30.0,0.0,30,194,0.0,948078 -1  -2 ,'pantoprazole' -1 -2 
0.0,0.0,21.0,0.0,21,194,0.0,950637 -1  -2 ,'Tacrolimus' -1 -2 
0.0,0.0,37.0,0.0,37,194,0.0,970250 -1  -2 ,'Spironolactone' -1 -2 
0.0,0.0,23.0,0.0,23,194,0.0,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
0.0,0.0,32.0,0.0,32,194,0.0,987245 -1  -2 ,'Lactulose' -1 -2 
0.0,0.0,33.0,0.0,33,194,0.0,989878 -1  -2 ,'Lidocaine' -1 -2 
0.0,0.0,44.0,0.0,44,194,0.0,1000560 -1  -2 ,'Ondansetron' -1 -2 
0.0,0.0,23.0,0.0,23,194,0.0,1103314 -1  -2 ,'Tramadol' -1 -2 
0.0,0.0,20.0,0.0,20,194,0.0,1110410 -1  -2 ,'Morphine' -1 -2 
0.0,0.0,21.0,0.0,21,194,0.0,1112921 -1  -2 ,'Ipratropium' -1 -2 
0.0,0.0,29.0,0.0,29,194,0.0,1126658 -1  -2 ,'Hydromorphone' -1 -2 
0.0,0.0,32.0,0.0,32,194,0.0,1153013 -1  -2 ,'Promethazine' -1 -2 
0.0,0.0,29.0,0.0,29,194,0.0,1201620 -1  -2 ,'Codeine' -1 -2 
0.0,0.0,39.0,0.0,39,194,0.0,1307046 -1  -2 ,'Metoprolol' -1 -2 
0.0,0.0,32.0,0.0,32,194,0.0,1308216 -1  -2 ,'Lisinopril' -1 -2 
0.0,0.0,21.0,0.0,21,194,0.0,1346823 -1  -2 ,'carvedilol' -1 -2 
0.0,0.0,33.0,0.0,33,194,0.0,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
0.0,0.0,21.0,0.0,21,194,0.0,1707164 -1  -2 ,'Metronidazole' -1 -2 
0.0,0.0,22.0,0.0,22,194,0.0,1777806 -1  -2 ,'Ceftriaxone' -1 -2 
0.0,0.0,29.0,0.0,29,194,0.0,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
0.0,0.0,29.0,0.0,29,194,0.0,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
0.0,0.0,53.0,0.0,53,194,0.0,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
